NAZCOBCE;PSC;NAZPOST;KODOKRESU;NAZOKRESU;NAZOBCE
Abertamy;36235;Abertamy;3403;Karlovy Vary;Abertamy
Horní Blatná;36235;Abertamy;3403;Karlovy Vary;Horní Blatná
Høebeèná;36235;Abertamy;3403;Karlovy Vary;Abertamy
Potùèky;36235;Abertamy;3403;Karlovy Vary;Potùèky
Rybná;36235;Abertamy;3403;Karlovy Vary;Pernink
Stráò;36235;Abertamy;3403;Karlovy Vary;Potùèky
Adamov;67904;Adamov 1;3701;Blansko;Adamov
Habrùvka (èást);67904;Adamov 1;3701;Blansko;Habrùvka
Olomuèany (èást);67904;Adamov 1;3701;Blansko;Olomuèany
Albrechtice nad Orlicí;51722;Albrechtice nad Orlicí;3607;Rychnov nad Knìnou;Albrechtice nad Orlicí
Albrechtice nad Vltavou (èást);39816;Albrechtice nad Vltavou;3305;Písek;Albrechtice nad Vltavou
Albrechtice;73543;Albrechtice u Èeského Tìšína;3803;Karviná;Albrechtice
Albrechtice v Jizerskıch horách;46843;Albrechtice v Jizerskıch horách;3504;Jablonec nad Nisou;Albrechtice v Jizerskıch horách
Jiøetín pod Bukovou;46843;Albrechtice v Jizerskıch horách;3504;Jablonec nad Nisou;Jiøetín pod Bukovou
Mariánská Hora;46843;Albrechtice v Jizerskıch horách;3504;Jablonec nad Nisou;Albrechtice v Jizerskıch horách
Albrechtièky;74255;Albrechtièky;3804;Novı Jièín;Albrechtièky
Archlebov;69633;Archlebov;3706;Hodonín;Archlebov
Draùvky;69633;Archlebov;3706;Hodonín;Draùvky
Arnoltice (èást);40714;Arnoltice u Dìèína;3502;Dìèín;Arnoltice
Aš;35201;Aš 1;3402;Cheb;Aš
Dolní Paseky;35201;Aš 1;3402;Cheb;Aš
Doubrava;35201;Aš 1;3402;Cheb;Aš
Horní Paseky;35201;Aš 1;3402;Cheb;Aš
Kamenná;35201;Aš 1;3402;Cheb;Krásná
Kopaniny;35201;Aš 1;3402;Cheb;Aš
Krásná;35201;Aš 1;3402;Cheb;Krásná
Lipná;35201;Aš 1;3402;Cheb;Hazlov
Mokøiny;35201;Aš 1;3402;Cheb;Aš
Nebesa;35201;Aš 1;3402;Cheb;Aš
Novı ïár;35201;Aš 1;3402;Cheb;Aš
Pastviny;35201;Aš 1;3402;Cheb;Hranice
Podhradí;35201;Aš 1;3402;Cheb;Podhradí
Polná;35201;Aš 1;3402;Cheb;Hazlov
Skalka;35201;Aš 1;3402;Cheb;Hazlov
Studánka;35201;Aš 1;3402;Cheb;Hranice
Táborská;35201;Aš 1;3402;Cheb;Hazlov
Trojmezí;35201;Aš 1;3402;Cheb;Hranice
Vernéøov;35201;Aš 1;3402;Cheb;Aš
Vıhledy;35201;Aš 1;3402;Cheb;Hazlov
Babice;68703;Babice u Uherského Hradištì;3711;Uherské Hradištì;Babice
Huštìnovice;68703;Babice u Uherského Hradištì;3711;Uherské Hradištì;Huštìnovice
Kudlovice;68703;Babice u Uherského Hradištì;3711;Uherské Hradištì;Kudlovice
Bakov nad Jizerou;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Bítouchov;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bítouchov
Buda;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Èihátka;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Ptırov
Dalešice;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bítouchov
Dolánky;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bítouchov
Horka;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Chudoplesy;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Klokoèka;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Malá Bìlá;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Malı Reèkov;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Nová Ves u Bakova;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Nová Ves u Bakova
Podhradí;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Studénka;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Velkı Reèkov;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Zvíøetice;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Bánov;68754;Bánov u Uherského Brodu;3711;Uherské Hradištì;Bánov
Bartošovice;74254;Bartošovice na Moravì;3804;Novı Jièín;Bartošovice
Bartošovice v Orlickıch horách (èást);51763;Bartošovice v Orlickıch horách;3607;Rychnov nad Knìnou;Bartošovice v Orlickıch horách
Baška;73901;Baška;3802;Frıdek-Místek;Baška
Hodoòovice;73901;Baška;3802;Frıdek-Místek;Baška
Kunèièky u Bašky;73901;Baška;3802;Frıdek-Místek;Baška
Staré Mìsto (èást);73901;Baška;3802;Frıdek-Místek;Staré Mìsto
Batelov;58851;Batelov;3707;Jihlava;Batelov
Bezdìèín;58851;Batelov;3707;Jihlava;Batelov
Bıkovec;58851;Batelov;3707;Jihlava;Kalištì
Cejle (èást);58851;Batelov;3707;Jihlava;Cejle
Dolní Cerekev (èást);58851;Batelov;3707;Jihlava;Dolní Cerekev
Dvorce (èást);58851;Batelov;3707;Jihlava;Dvorce
Jihlávka;58851;Batelov;3707;Jihlava;Jihlávka
Kalištì;58851;Batelov;3707;Jihlava;Kalištì
Klatovec;58851;Batelov;3707;Jihlava;Klatovec
Kostelec (èást);58851;Batelov;3707;Jihlava;Kostelec
Lovìtín;58851;Batelov;3707;Jihlava;Batelov
Nová Ves;58851;Batelov;3707;Jihlava;Batelov
Novı Svìt;58851;Batelov;3707;Jihlava;Dolní Cerekev
Rácov;58851;Batelov;3707;Jihlava;Batelov
Rohozná (èást);58851;Batelov;3707;Jihlava;Rohozná
Spìlov;58851;Batelov;3707;Jihlava;Dolní Cerekev
Švábov;58851;Batelov;3707;Jihlava;Švábov
Batòovice (èást);54237;Batòovice;3610;Trutnov;Batòovice
Bavorov;38773;Bavorov;3307;Strakonice;Bavorov
Bílsko;38773;Bavorov;3307;Strakonice;Bílsko
Budynì;38773;Bavorov;3307;Strakonice;Budynì
Èichtice;38773;Bavorov;3307;Strakonice;Bavorov
Hájek;38773;Bavorov;3307;Strakonice;Hájek
Chrást;38773;Bavorov;3307;Strakonice;Pivkovice
Krajníèko;38773;Bavorov;3307;Strakonice;Krajníèko
Mìkynec;38773;Bavorov;3307;Strakonice;Mìkynec
Netonice;38773;Bavorov;3307;Strakonice;Bílsko
Pivkovice;38773;Bavorov;3307;Strakonice;Pivkovice
Radìjovice;38773;Bavorov;3307;Strakonice;Radìjovice
Svinìtice;38773;Bavorov;3307;Strakonice;Bavorov
Tourov;38773;Bavorov;3307;Strakonice;Bavorov
Útìšov;38773;Bavorov;3307;Strakonice;Bavorov
Záluí;38773;Bavorov;3307;Strakonice;Bílsko
Beèov nad Teplou;36464;Beèov nad Teplou;3403;Karlovy Vary;Beèov nad Teplou
Cihelny;36464;Beèov nad Teplou;3403;Karlovy Vary;Karlovy Vary
Dobrá Voda (èást);36464;Beèov nad Teplou;3403;Karlovy Vary;Touim
Chodov (èást);36464;Beèov nad Teplou;3403;Karlovy Vary;Chodov
Krásnı Jez;36464;Beèov nad Teplou;3403;Karlovy Vary;Beèov nad Teplou
Mìchov;36464;Beèov nad Teplou;3403;Karlovy Vary;Otroèín
Nová Ves;36464;Beèov nad Teplou;3409;Sokolov;Nová Ves
Teplièka;36464;Beèov nad Teplou;3403;Karlovy Vary;Teplièka
Vodná;36464;Beèov nad Teplou;3403;Karlovy Vary;Beèov nad Teplou
Beèov;43526;Beèov u Mostu;3508;Most;Beèov
Beèváry;28143;Beèváry;3204;Kolín;Beèváry
Bedihoš;79821;Bedihoš;3709;Prostìjov;Bedihoš
Èehovice;79821;Bedihoš;3709;Prostìjov;Èehovice
Hrubèice;79821;Bedihoš;3709;Prostìjov;Hrubèice
Klopotovice;79821;Bedihoš;3709;Prostìjov;Klopotovice
Otonovice;79821;Bedihoš;3709;Prostìjov;Hrubèice
Bedøichov;46812;Bedøichov u Jablonce nad Nisou;3504;Jablonec nad Nisou;Bedøichov
Bìhaøovice;67139;Bìhaøovice;3713;Znojmo;Bìhaøovice
Bechlín;41186;Bechlín;3506;Litomìøice;Bechlín
Bechynì;39165;Bechynì;3308;Tábor;Bechynì
Bechyòská Smoleè;39165;Bechynì;3308;Tábor;Sudomìøice u Bechynì
Beerovice;39165;Bechynì;3308;Tábor;Sudomìøice u Bechynì
Blatec;39165;Bechynì;3308;Tábor;Hodìtín
Èenkov u Bechynì;39165;Bechynì;3301;Èeské Budìjovice;Èenkov u Bechynì
Èernıšovice;39165;Bechynì;3308;Tábor;Èernıšovice
Dobronice u Bechynì;39165;Bechynì;3308;Tábor;Dobronice u Bechynì
Haškovcova Lhota;39165;Bechynì;3308;Tábor;Haškovcova Lhota
Hodìtín;39165;Bechynì;3308;Tábor;Hodìtín
Hodonice;39165;Bechynì;3308;Tábor;Hodonice
Hutì;39165;Bechynì;3308;Tábor;Èernıšovice
Hvoïany (èást);39165;Bechynì;3308;Tábor;Bechynì
Kozín;39165;Bechynì;3308;Tábor;Rataje
Køída;39165;Bechynì;3308;Tábor;Stádlec
Nová Ves;39165;Bechynì;3308;Tábor;Hodìtín
Radìtice;39165;Bechynì;3308;Tábor;Radìtice
Rataje;39165;Bechynì;3308;Tábor;Rataje
Senoaty;39165;Bechynì;3308;Tábor;Bechynì
Staré Sedlo;39165;Bechynì;3308;Tábor;Stádlec
Sudomìøice u Bechynì (èást);39165;Bechynì;3308;Tábor;Sudomìøice u Bechynì
Záhoøí;39165;Bechynì;3308;Tábor;Záhoøí
Bìlá nad Radbuzou;34526;Bìlá nad Radbuzou;3401;Domalice;Bìlá nad Radbuzou
Bìlá nad Svitavou;56905;Bìlá nad Svitavou;3609;Svitavy;Bìlá nad Svitavou
Bìlá pod Bezdìzem;29421;Bìlá pod Bezdìzem;3207;Mladá Boleslav;Bìlá pod Bezdìzem
Bøezovice (èást);29421;Bìlá pod Bezdìzem;3207;Mladá Boleslav;Bøezovice
Hlínovištì;29421;Bìlá pod Bezdìzem;3207;Mladá Boleslav;Bìlá pod Bezdìzem
Vrchbìlá;29421;Bìlá pod Bezdìzem;3207;Mladá Boleslav;Bìlá pod Bezdìzem
Bìlèice (èást);38743;Bìlèice;3307;Strakonice;Bìlèice
Bìlkovice-Lašany (èást);78315;Bìlkovice-Lašany;3805;Olomouc;Bìlkovice-Lašany
