DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Ábelová;Ábelová;Luèenec;985 13;Ábelová;Ábelová;606;BC;98513
Abovce;Abovce;Rimavská Sobota;980 44;Lenartovce;Lenartovce;609;BC;98044
Abrahám;Abrahám;Galanta;925 45;Abrahám;Abrahám;202;TA;92545
Abrahámovce;Abrahámovce;Bardejov;086 41;Raslavice;Raslavice;701;PV;08641
Abrahámovce;Abrahámovce;Kemarok;059 72;Vrbov;Vrbov;703;PV;05972
Abramová;Abramová;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;03822
Abranovce;Abranovce;Prešov;082 52;Kokošovce;Kokošovce;707;PV;08252
Adamovské Kochanovce;Adamovské Kochanovce;Trenèín;913 05;Melèice-Lieskové;Melèice-Lieskové;309;TC;91305
Adidovce;Adidovce;Humenné;067 32;Vyšnı Hrušov;Vyšnı Hrušov;702;PV;06732
Albínov;Albínov;Trebišov;078 01;Seèovce;Seèovce;811;KI;07801
Alekšince;Alekšince;Nitra;951 22;Alekšince;Alekšince;403;NI;95122
Alexandrov Dvor;Alexandrov Dvor;Nitra;951 34;Báb;Báb;403;NI;95134
Albetin Dvor;Albetin Dvor;Senec;900 42;Dunajská Luná;Dunajská Luná;108;BL;90042
Amadeho Kraèany;Amadeho Kraèany;Dunajská Streda;930 03;Krá¾ovièove Kraèany;Krá¾ovièove Kraèany;201;TA;93003
Aòala;Aòala;Komárno;946 51;Nesvady;Nesvady;401;NI;94651
Aòalské Záhrady;Aòalské Záhrady;Komárno;946 51;Nesvady;Nesvady;401;NI;94651
Andaè;Andaè;Nitra;951 42;Zbehy;Zbehy;403;NI;95142
Andice;Andice;Liptovskı Mikuláš;031 01;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;03101
Andovce;Andovce;Nové Zámky;941 23;Andovce;Andovce;404;NI;94123
Andrejová;Andrejová;Bardejov;086 37;Šarišské Èierne;Šarišské Èierne;701;PV;08637
Andrejovka;Andrejovka;Stará ¼ubovòa;065 43;Orlov nad Popradom;Orlov nad Popradom;710;PV;06543
Arad;Arad;Nové Zámky;943 42;Gbelce;Gbelce;404;NI;94342
Ardanovce;Ardanovce;Topo¾èany;956 06;Šalgovce;Šalgovce;406;NI;95606
Ardovo;Ardovo;Roòava;049 55;Dlhá Ves;Dlhá Ves;808;KI;04955
Arma;Arma;Levice;935 41;Tekovské Luany;Tekovské Luany;402;NI;93541
Arnutovce;Arnutovce;Spišská Nová Ves;053 13;Letanovce;Letanovce;810;KI;05313
Báb;Báb;Nitra;951 34;Báb;Báb;403;NI;95134
Babie;Babie;Vranov nad Top¾ou;094 31;Hanušovce nad Top¾ou;Hanušovce nad Top¾ou;713;PV;09431
Babín;Babín;Námestovo;029 52;Hruštín;Hruštín;507;ZI;02952
Babin Potok;Babin Potok;Prešov;082 67;Teròa;Teròa;707;PV;08267
Babiná;Babiná;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;96261
Babindol;Babindol;Nitra;951 53;Klasov;Klasov;403;NI;95153
Babinec;Babinec;Rimavská Sobota;980 26;Lukovištia;Lukovištia;609;BC;98026
Babiše;Babiše;Bytèa;013 54;Kolárovice;Kolárovice;501;ZI;01354
Babkov;Babkov;ilina;013 11;Lietavská Lúèka;Lietavská Lúèka;511;ZI;01311
Babulicov Vrch;Babulicov Vrch;Myjava;916 13;Kostolné;Kostolné;303;TC;91613
Bacúch;Bacúch;Brezno;976 64;Beòuš;Beòuš;603;BC;97664
Bacúrov;Bacúrov;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;96261
Báè;Báè;Dunajská Streda;930 30;Rohovce;Rohovce;201;TA;93030
Baèala;Baèala;Nitra;951 15;Mojmírovce;Mojmírovce;403;NI;95115
Baèka;Baèka;Trebišov;076 84;Leles;Leles;811;KI;07684
Baèkov;Baèkov;Trebišov;076 61;Baèkov;Baèkov;811;KI;07661
Baèkovík;Baèkovík;Košice-okolie;044 45;Bidovce;Bidovce;806;KI;04445
Báèovce;Báèovce;Krupina;962 68;Hontianske Tesáre;Hontianske Tesáre;605;BC;96268
Baïan;Baïan;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;96901
Bádice;Bádice;Nitra;951 46;Podhorany pri Nitre;Podhorany pri Nitre;403;NI;95146
Badín;Badín;Banská Bystrica;976 32;Badín;Badín;601;BC;97632
Báhoò;Báhoò;Pezinok;900 84;Báhoò;Báhoò;107;BL;90084
Bajany;Bajany;Michalovce;072 54;Lekárovce;Lekárovce;807;KI;07254
Bajè;Bajè;Komárno;946 54;Bajè;Bajè;401;NI;94654
Bajerov;Bajerov;Prešov;082 41;Bajerov;Bajerov;707;PV;08241
Bajerovce;Bajerovce;Sabinov;082 73;Šarišské Dravce;Šarišské Dravce;708;PV;08273
Bajka;Bajka;Levice;935 51;Tekovskı Hrádok;Tekovskı Hrádok;402;NI;93551
Bajtava;Bajtava;Nové Zámky;943 65;Kamenica nad Hronom;Kamenica nad Hronom;404;NI;94365
Baka;Baka;Dunajská Streda;930 04;Baka;Baka;201;TA;93004
Bakta;Bakta;Rimavská Sobota;979 01;Rimavská Sobota 1;Rimavská Sobota 1;609;BC;97901
Baláe;Baláe;Banská Bystrica;976 11;Selce pri Banskej Bystrici;Selce pri B.Bystrici;601;BC;97611
Baldovce;Baldovce;Levoèa;053 04;Spišské Podhradie;Spišské Podhradie;704;PV;05304
Balog nad Ip¾om;Balog nad Ip¾om;Ve¾kı Krtíš;991 11;Balog nad Ip¾om;Balog nad Ip¾om;610;BC;99111
Baloò;Baloò;Dunajská Streda;930 08;Èiliská Radvaò;Èiliská Radvaò;201;TA;93008
Balvany;Balvany;Komárno;946 01;Kamenièná pri Komárne;Kamenièná pri Komár.;401;NI;94601
Baòa;Baòa;Stropkov;091 01;Stropkov;Stropkov;711;PV;09101
Baòa Lucia;Baòa Lucia;Košice-okolie;044 25;Medzev;Medzev;806;KI;04425
Banka;Banka;Piešany;921 01;Piešany 1;Piešany 1;204;TA;92101
Banky;Banky;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;96901
Banky;Banky;Prievidza;972 25;Diviaky nad Nitricou;Diviaky nad Nitricou;307;TC;97225
